ts0,ts1,bcr1,bcr2,bcr3
1647400000.0,24634,0.016,1.501,0.0
1647400000.0,24681,0.016,1.527,0.0
1647400000.0,24728,0.016,1.261,0.0
1647400000.0,24800,0.016,0.95,0.0
1647400000.0,24847,0.016,1.463,0.0
1647400000.0,24894,0.016,1.025,0.0
1647400000.0,24941,0.016,1.266,0.0
1647400000.0,24988,0.016,1.42,0.0
1647400000.0,25035,0.017,1.431,0.0
1647400000.0,25082,0.016,1.392,0.0
1647400000.0,25188,0.016,1.566,0.0
1647400000.0,25235,0.016,1.528,0.0
1647400000.0,25282,0.016,1.26,0.0
1647400000.0,25329,0.016,1.494,0.0
1647400000.0,25376,0.016,1.522,0.0
1647400000.0,25423,0.016,1.281,0.0
1647400000.0,25555,0.016,1.529,0.0
1647400000.0,25602,0.016,1.432,0.0
1647400000.0,25649,0.016,1.338,0.0
1647400000.0,25696,0.015,1.513,0.0
1647400000.0,25742,0.016,1.506,0.0
1647400000.0,25789,0.016,1.381,0.0
1647400000.0,25836,0.016,1.463,0.0
1647400000.0,25886,0.016,1.476,0.0
1647400000.0,25933,0.016,1.266,0.0
1647400000.0,25980,0.016,1.5,0.0
1647400000.0,26027,0.016,1.512,0.0
1647400000.0,26074,0.016,1.272,0.0
1647400000.0,26121,0.016,1.52,0.0
1647400000.0,26178,0.016,1.368,0.0
1647400000.0,26225,0.016,1.476,0.0
1647400000.0,26272,0.016,1.536,0.0
1647400000.0,26319,0.016,1.457,0.0
1647400000.0,26365,0.017,1.43,0.0
1647400000.0,26412,0.016,1.477,0.0
1647400000.0,26459,0.016,1.432,0.0
1647400000.0,26549,0.016,1.463,0.0
1647400000.0,26596,0.016,1.504,0.0
1647400000.0,26643,0.016,1.259,0.0
1647400000.0,26690,0.016,1.023,0.0
1647400000.0,26737,0.016,1.261,0.0
1647400000.0,26783,0.016,1.024,0.0
1647400000.0,26837,0.017,1.438,0.0
1647400000.0,26884,0.016,1.471,0.0
1647400000.0,26931,0.016,1.437,0.0
1647400000.0,26978,0.016,1.507,0.0
1647400000.0,27025,0.016,1.397,0.0
1647400000.0,27072,0.016,1.5,0.0
1647400000.0,27119,0.016,1.327,0.0
1647400000.0,27243,0.016,1.529,0.0
1647400000.0,27290,0.016,1.507,0.0
1647400000.0,27337,0.016,1.26,0.0
1647400000.0,27384,0.016,1.516,0.0
1647400000.0,27430,0.016,1.403,0.0
1647400000.0,27477,0.016,1.498,0.0
1647400000.0,27524,0.016,1.392,0.0
1647400000.0,27571,0.016,1.516,0.0
1647400000.0,27618,0.016,1.526,0.0
1647400000.0,27665,0.016,1.402,0.0
1647400000.0,27711,0.015,1.517,0.0
1647400000.0,27758,0.015,1.427,0.0
1647400000.0,27805,0.016,1.248,0.0
1647400000.0,27853,0.016,1.41,0.0
1647400000.0,27899,0.016,4.393,0.0
